"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id","summary.order","summary.total_count","summary.can_comment","parent.created_time","parent.message","paging.cursors.before","paging.cursors.after"
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5243","2122","2","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","👍👍🥰","2022-10-03T08:06:27+0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5244","2122","2","173303096034293_5807599369271276","data","data.*","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","200kg 月餅","2022-10-03T13:34:12+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5807599369271276/173303096034293_5807599369271276","5245","2122","2","173303096034293_5807599369271276","offcut","","fetched (200)","2022-10-12 08:19:06.842842","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","5","True","","","WTI5dGJXVnVkRjlqZAFhKemIzSTZAOVFU1TXpVMU9UTXdNRGN3TURnd01Ub3hOalkwTlRRNU5qWTQZD","WTI5dGJXVnVkRjlqZAFhKemIzSTZAOall4TkRFNE1ERTFOREEzT0Rjek9qRTJOalE0TURRd05UST0ZD"
"173303096034293/173303096034293_5805187542845792","2123","1348","1","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【DBS超越您我想像 Gareth.T唱出超越態度】  DBS用行動超越大眾對銀行嘅想像，呢種敢於「Be A Different Kind of Bank」嘅精神，啟發到新世代唱作歌手 Gareth.T 都要突破自己！  擁有強烈個人風格及聲線嘅Gareth，喺同DBS聯乘嘅「More like your soulmate」音樂會上演繹《Benjamin Franklin》、《勁浪漫超溫馨》、《Asian Kanye》等多首唔同曲風嘅作品，唱出「A Different Kind of Singer」態度。  睇完Gareth嘅演出，您，又會想點樣超越自己，成為「A Different Kind of Me」?  #DBSHK #LivemoreBankless #DifferentKindOfBank #DifferentYouAndMe #銀行超越想像 #您我超越想像 #Morelikeyoursoulmate","2022-09-27T08:00:41+0000","","","","DBS","173303096034293","","ranked","5","True","","158","NONE","","153","NONE","","2","NONE","","0","NONE","","0","NONE","","0","NONE","","3","NONE","173303096034293_5805187542845792","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5246","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","唱乜鬼","2022-09-28T13:06:29+0000","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5247","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","Ken So 乜你失聰嘅咩?","2022-09-28T13:41:29+0000","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-28T13:06:29+0000","唱乜鬼","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5248","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","在外國這種style 其實挺common, 不過到咗香港依個market, 佢既野顯得比較different","2022-09-29T00:38:26+0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5249","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","呢個仔仔好性感⋯⋯如果著少啲布，可能會殺出條血路⋯⋯而家呢個時勢，太多新人⋯⋯要名成利就，便要走突出路線⋯⋯例如以jockstrap boys、fishnet guys等形象 出現，一定會make 到noise ，亦會吸引focus，屆時，想唔紅都幾難👌👌👍👍💪💪","2022-09-29T08:50:25+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5250","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","Ken So ￼咪蘇永康唱￼緊歌　lor","2022-09-29T10:00:12+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-28T13:06:29+0000","唱乜鬼","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5251","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","Ken So 流行曲唔岩聽 粵曲應該岩你聽","2022-09-30T03:13:35+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-28T13:06:29+0000","唱乜鬼","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5252","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","76","2022-10-01T11:14:27+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5253","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","睇見佢個look已唔想聽","2022-10-04T00:32:57+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5254","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","短褲襯白襪","2022-10-04T00:33:50+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5255","2123","2","173303096034293_5805187542845792","data","data.*","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","太靚仔😁","2022-10-07T06:54:02+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5805187542845792/173303096034293_5805187542845792","5256","2123","2","173303096034293_5805187542845792","offcut","","fetched (200)","2022-10-12 08:19:07.290343","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","12","True","","","WTI5dGJXVnVkRjlqZAFhKemIzSTZANVEl4TWpRMk5qVTROakk1TkRNM016b3hOalkwTXpjd016a3cZD","WTI5dGJXVnVkRjlqZAFhKemIzSTZAORE0yTXpJME9EY3hPVEl4TXpBNU9qRTJOalV4TWpVMk5EST0ZD"
"173303096034293/173303096034293_5791049187592961","2124","1348","1","173303096034293_5791049187592961","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【#零捨惜食冷知識 – 食用日期篇】  究竟「食物安全期」要點睇？ 好簡單，過咗「此日期前食用」(use by) 嘅食物涉及安全，所以唔建議進食。如果只係過咗「此日期前最佳」(best before)，就算食物嘅味道、顏色、質感或營養成分未必係最好，只要食之前確保冇異味或異樣，依然可以安心食用！  記得睇清楚食物上嘅標籤，減少不必要嘅浪費。  今個星期六、日嚟南豐紗廠「廚餘明天等於零」市集，就可以用優惠價購買將近或已過「此日期前最佳」嘅食品；去埋其他一樣提倡 #食物零浪費 嘅社企或慈善機構嘅攤位同工作坊，親身體驗惜食原來可以好玩又好買，千祈唔好錯過！  「DBS x 世界之約：廚餘明天等於零」週末市集 日期：9月24及25日（星期六、日） 時間：中午12時至下午6時 地點：The Mills 南豐紗廠  一樓  世界之約 In Time Of - 南豐集團 Nan Fung Group   教你解讀賞味期限：https://go.dbs.com/3DGxJJm  #DBSHK #LivemoreBankless #DifferentKindOfBank #LivemoreWasteless #TowardsZeroFoodWaste #ForABetterWorld #Sustainability","2022-09-22T12:00:04+0000","","","","DBS","173303096034293","","ranked","3","True","","113","NONE","","112","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","1","NONE","173303096034293_5791049187592961","","","","","","",""
"173303096034293/173303096034293_5791049187592961/173303096034293_5791049187592961","5257","2124","2","173303096034293_5791049187592961","data","data.*","fetched (200)","2022-10-12 08:19:07.675508","Facebook:/<post-id>/comments","Daniel Ngan","2022-09-24T14:36:34+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5791049187592961/173303096034293_5791049187592961","5258","2124","2","173303096034293_5791049187592961","data","data.*","fetched (200)","2022-10-12 08:19:07.675508","Facebook:/<post-id>/comments","你好。","2022-09-25T11:40:27+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5791049187592961/173303096034293_5791049187592961","5259","2124","2","173303096034293_5791049187592961","data","data.*","fetched (200)","2022-10-12 08:19:07.675508","Facebook:/<post-id>/comments","晚上好。😁。","2022-09-25T15:53:02+0000","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5791049187592961/173303096034293_5791049187592961","5260","2124","2","173303096034293_5791049187592961","offcut","","fetched (200)","2022-10-12 08:19:07.675508","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","3","True","","","WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGM0T1Rrd056RXlORGN3TURNNU56b3hOalkwTURNd01UazEZD","WTI5dGJXVnVkRjlqZAFhKemIzSTZAOemcwTmpVeE1ESTJNVEE1TkRnNU9qRTJOalF4TWpFeE9ETT0ZD"
"173303096034293/173303096034293_5787658694598677","2125","1348","1","173303096034293_5787658694598677","data","data.*","fetched (200)","2022-10-01 19:26:57.256691","Facebook:/<page-id>/posts","【Live More Sustainably邁向可持續未來】  作為一間具使命感嘅銀行，星展一直喺推動綠色金融擔任領導角色，提倡負責任嘅企業營運，推動企業達成更進取嘅可持續發展目標。  由90年代開始，DBS就成為冠忠巴士嘅主要銀行夥伴，多年嚟一直積極支持佢哋嘅業務拓展。今次我哋好榮幸可以同冠忠巴士簽訂第一筆可持續發展表現掛鈎貸款，支持冠忠巴士轉型，幫助香港以至大灣區推進綠色運輸步伐，一齊建造一個更持續嘅綠色未來。  了解更多: go.dbs.com/green_hk  #DBSHK #DifferentKindOfBank #LiveMoreSustainably #Sustainability #GreenTransport #星展香港 #綠色未來","2022-09-21T07:06:28+0000","","","","DBS","173303096034293","","ranked","0","True","","27","NONE","","26","NONE","","1","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","173303096034293_5787658694598677","","","","","","",""
"173303096034293/173303096034293_5787658694598677/173303096034293_5787658694598677","5261","2125","2","173303096034293_5787658694598677","empty","","fetched (200)","2022-10-12 08:19:08.066486","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173303096034293/173303096034293_5787658694598677/173303096034293_5787658694598677","5262","2125","2","173303096034293_5787658694598677","offcut","","fetched (200)","2022-10-12 08:19:08.066486","Facebook:/<post-id>/comments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chronological","0","True","","","",""
